divestment |The act of divesting. [R.]
dotard |One whose mind is impaired by age; one in second childhood. The sickly dotard wants a wife. Prior.
dotardly |Foolish; weak. Dr. H. More.
dotary |A dotard's weakness; dotage. [Obs.] Drayton.
dotation |1. The act of endowing, or bestowing a marriage portion on a woman. 2. Endowment; establishment of funds for support, as of a hospital or eleemosynary corporation. Blackstone.
dote |1. A marriage portion. [Obs.] See 1st Dot, n. Wyatt. 2. pl.  Natural endowments. [Obs.] B. Jonson.\n\n1. To act foolishly. [Obs.] He wol make him doten anon right. Chaucer. 2. To be weak-minded, silly, or idiotic; to have the intellect impaired, especially by age, so that the mind wanders or wavers; to drivel. Time has made you dote, and vainly tell Of arms imagined in your lonely cell. Dryden. He survived the use of his reason, grew infatuated, and doted long before he died. South. 3. To be excessively or foolishly fond; to love to excess; to be weakly affectionate; -- with on or upon; as, the mother dotes on her child. Sing, siren, for thyself, and I will dote. Shak. What dust we dote on, when 't is man we love. Pope.\n\nAn imbecile; a dotard. Halliwell.
doted |1. Stupid; foolish. [Obs.] Senseless speech and doted ignorance. Spenser. 2. Half-rotten; as, doted wood. [Local, U. S.]
dotehead |A dotard. [R.] Tyndale.
doter |1. One who dotes; a man whose understanding is enfeebled by age; a dotard. Burton. 2. One excessively fond, or weak in love. Shak.
dotery |The acts or speech of a dotard; drivel. [R.]
doth |of Do.
doting |That dotes; silly; excessively fond. -- Dot\"ing*ly, adv. -- Dot\"ing*ness, n.
dotish |Foolish; weak; imbecile. Sir W. Scott.
dottard |An old, decayed tree. [R.] Bacon.
dotted |Marked with, or made of, dots or small spots; diversified with small, detached objects. Dotted note (Mus.), a note followed by a dot to indicate an increase of length equal to one half of its simple value; thus, a dotted semibreve is equal to three minims, and a dotted quarter to three eighth notes. -- Dotted rest, a rest lengthened by a dot in the same manner as a dotted note. Note: Notes and rests are sometimes followed by two dots, to indicate an increase of length equal to three quarters of their simple value, and they are then said to be double-dotted.
dotterel |Decayed. \"Some old dotterel trees.\" [Obs.] Ascham.\n\n1. (Zoöl.)  A European bird of the Plover family (Eudromias, or Charadrius, morinellus). It is tame and easily taken, and is popularly believed to imitate the movements of the fowler. In catching of dotterels we see how the foolish bird playeth the ape in gestures. Bacon. Note: The ringed dotterel (or ring plover) is Charadrius hiaticula. 2. A silly fellow; a dupe; a gull. Barrow.
dotting pen |See under Pun.
dottrel |See Dotterel.
dotty |1. Composed of, or characterized by, dots. 2.  [Perh. a different word; cf. Totty.] Unsteady in gait; hence, feeble; half-witted. [Eng.]
doty |Half-rotten; as, doty timber. [Local, U. S.]
douane |A customhouse.
douanier |An officer of the French customs. [Anglicized form douaneer.]
douar |A village composed of Arab tents arranged in streets.
douay bible |A translation of the Scriptures into the English language for the use of English-speaking Roman Catholics; -- done from the Latin Vulgate by English scholars resident in France. The New Testament portion was published at Rheims, A. D. 1582, the Old Testament at Douai, A. D. 1609-10. Various revised editions have since been published. [Written also Doway Bible. Called also the Rheims and Douay version.]
doub grass |Doob grass.
double |1. Twofold; multiplied by two; increased by its equivalent; made twice as large or as much, etc. Let a double portion of thy spirit be upon me. 2 Kings ii. 9. Darkness and tempest make a double night. Dryden. 2. Being in pairs; presenting two of a kind, or two in a set together; coupled. [Let] The swan, on still St. Mary's lake, Float double, swan and shadow. Wordsworth. 3. Divided into two; acting two parts, one openly and the other secretly; equivocal; deceitful; insincere. With a double heart do they speak. Ps. xii. 2. 4. (Bot.)  Having the petals in a flower considerably increased beyond the natural number, usually as the result of cultivation and the expense of the stamens, or stamens and pistils. The white water lily and some other plants have their blossoms naturally double. Note: Double is often used as the first part of a compound word, generally denoting two ways, or twice the number, quantity, force, etc., twofold, or having two. Double base, or Double bass (Mus.), the largest and lowest-toned instrument in the violin form; the contrabasso or violone. -- Double convex. See under Convex. -- Double counterpoint (Mus.), that species of counterpoint or composition, in which two of the parts may be inverted, by setting one of them an octave higher or lower. -- Double court (Lawn Tennis), a court laid out for four players, two on each side. -- Double dagger (Print.), a reference mark () next to the dagger (|) in order; a diesis. -- Double drum (Mus.), a large drum that is beaten at both ends. -- Double eagle, a gold coin of the United States having the value of 20 dollars. -- Double entry. See under Bookkeeping. -- Double floor (Arch.), a floor in which binding joists support flooring joists above and ceiling joists below. See Illust. of Double-framed floor. -- Double flower. See Double, a., 4. -- Double-framed floor (Arch.), a double floor having girders into which the binding joists are framed. -- Double fugue (Mus.), a fugue on two subjects. -- Double letter. (a) (Print.) Two letters on one shank; a ligature. (b) A mail requiring double postage. -- Double note (Mus.), a note of double the length of the semibreve; a breve. See Breve. -- Double octave (Mus.), an interval composed of two octaves, or fifteen notes, in diatonic progression; a fifteenth. -- Double pica. See under Pica. -- Double play (Baseball), a play by which two players are put out at the same time. -- Double plea (Law), a plea alleging several matters in answer to the declaration, where either of such matters alone would be a sufficient bar to the action. Stephen. -- Double point (Geom.), a point of a curve at which two branches cross each other. Conjugate or isolated points of a curve are called double points, since they possess most of the properties of double points (see Conjugate). They are also called acnodes, and those points where the branches of the curve really cross are called crunodes. The extremity of a cusp is also a double point. -- Double quarrel. (Eccl. Law) See Duplex querela, under Duplex. -- Double refraction. (Opt.) See Refraction. -- Double salt. (Chem.) (a) A mixed salt of any polybasic acid which has been saturated by different bases or basic radicals, as the double carbonate of sodium and potassium, NaKCO3.6H2O. (b) A molecular combination of two distinct salts, as common alum, which consists of the sulphate of aluminium, and the sulphate of potassium or ammonium. -- Double shuffle, a low, noisy dance. -- Double standard (Polit. Econ.), a double standard of monetary values; i. e., a gold standard and a silver standard, both of which are made legal tender. -- Double star (Astron.), two stars so near to each other as to be seen separate only by means of a telescope. Such stars may be only optically near to each other, or may be physically connected so that they revolve round their common center of gravity, and in the latter case are called also binary stars. -- Double time (Mil.). Same as Double-quick. -- Double window, a window having two sets of glazed sashes with an air space between them.\n\nTwice; doubly. I was double their age. Swift.\n\n1. To increase by adding an equal number, quantity, length, value, or the like; multiply by two; to double a sum of money; to double a number, or length. Double six thousand, and then treble that. Shak. 2. To make of two thicknesses or folds by turning or bending together in the middle; to fold one part upon another part of; as, to double the leaf of a book, and the like; to clinch, as the fist; -- often followed by up; as, to double up a sheet of paper or cloth. Prior. Then the old man Was wroth, and doubled up his hands. Tennyson. 3. To be the double of; to exceed by twofold; to contain or be worth twice as much as. Thus reënforced, against the adverse fleet, Still doubling ours, brave Rupert leads the way. Dryden. 4. To pass around or by; to march or sail round, so as to reverse the direction of motion. Sailing along the coast, the doubled the promontory of Carthage. Knolles. 5. (Mil.)  To unite, as ranks or files, so as to form one from each two.\n\n1. To be increased to twice the sum, number, quantity, length, or value; to increase or grow to twice as much. 'T is observed in particular nations, that within the space of three hundred years, notwithstanding all casualties, the number of men doubles. T. Burnet. 2. To return upon one's track; to turn and go back over the same ground, or in an opposite direction. Doubling and turning like a hunted hare. Dryden. Doubling and doubling with laborious walk. Wordsworth. 3. To play tricks; to use sleights; to play false. What penalty and danger you accrue, If you be found to double. J. Webster. 4. (Print.)  To set up a word or words a second time by mistake; to make a doublet. To double upon (Mil.), to inclose between two fires.\n\n1. Twice as much; twice the number, sum, quantity, length, value, and the like. If the thief be found, let him pay double. Ex. xxii. 7. 2. Among compositors, a doublet (see Doublet, 2.); among pressmen, a sheet that is twice pulled, and blurred. 3. That which is doubled over or together; a doubling; a plait; a fold. Rolled up in sevenfold double Of plagues. Marston. 4. A turn or circuit in running to escape pursues; hence, a trick; a shift; an artifice. These men are too well acquainted with the chase to be flung off by any false steps or doubles. Addison. 5. Something precisely equal or counterpart to another; a counterpart. Hence, a wraith. My charming friend . . . has, I am almost sure, a double, who preaches his afternoon sermons for him. Atlantic Monthly. 6. A player or singer who prepares to take the part of another player in his absence; a substitute. 7. Double beer; strong beer. 8. (Eccl.)  A feast in which the antiphon is doubled, hat is, said twice, before and after the Psalms, instead of only half being said, as in simple feasts. Shipley. 9. (Lawn Tennis)  A game between two pairs of players; as, a first prize for doubles. 10. (Mus.)  An old term for a variation, as in Bach's Suites.
double dealer |One who practices double dealing; a deceitful, trickish person. L'Estrange.
double dealing |False or deceitful dealing. See Double dealing, under Dealing. Shak.
double first |(a) A degree of the first class both in classics and mathematics. (b) One who gains at examinations the highest honor both in the classics and the mathematics. Beaconsfield.
double pedro |Cinch (the game).
double-acting |Acting or operating in two directions or with both motions; producing a twofold result; as, a double-acting engine or pump.
double-bank |To row by rowers sitting side by side in twos on a bank or thwart. To double-bank an oar, to set two men to pulling one oar.
double-banked |Applied to a kind of rowing in which the rowers sit side by side in twos, a pair of oars being worked from each bank or thwart.
double-barreled |Having two barrels; -- applied to a gun.
double-barrelled |Having two barrels; -- applied to a gun.
double-beat valve |See under Valve.
double-breasted |Folding or lapping over on the breast, with a row of buttons and buttonholes on each side; as, a double-breasted coat.
double-charge |1. To load with a double charge, as of gunpowder. 2. To overcharge. Shak.
double-decker |1. (Naut.)  A man-of-war having two gun decks. 2. A public conveyance, as a street car, with seats on the roof. [Colloq.]
double-dye |To dye again or twice over. To double-dye their robes in scarlet. J. Webster.
double-dyed |Dyed twice; thoroughly or intensely colored; hence; firmly fixed in opinions or habits; as, a double-dyed villain.
double-ender |(a) (Naut.) A vessel capable of moving in either direction, having bow and rudder at each end. (b) (Railroad)  A locomotive with pilot at each end. Knight.
double-entendre |A word or expression admitting of a double interpretation, one of which is often obscure or indelicate.
double-eyed |Having a deceitful look. [R.] \"Deceitful meanings is double- eyed.\" Spenser.
double-faced |1. Having two faces designed for use; as, a double-faced hammer. 2. Deceitful; hypocritical; treacherous. Milton.
double-handed |1. Having two hands. 2. Deceitful; deceptive. Glanvill.
double-headed |Having two heads; bicipital. Double-headed rail (Railroad), a rail whose flanges are duplicates, so that when one is worn the other may be turned uppermost.
double-hung |Having both sashes hung with weights and cords; -- said of a window.
double-lock |To lock with two bolts; to fasten with double security. Tatler.
double-milled |Twice milled or fulled, to render more compact or fine; -- said of cloth; as, double-milled kerseymere.
double-quick |Of, or performed in, the fastest time or step in marching, next to the run; as, a double-quick step or march.\n\nDouble-quick time, step, or march. Note: Double-quick time requires 165 steps, each 33 inches in length, to be taken in one minute. The number of steps may be increased up to 180 per minute.\n\nTo move, or cause to move, in double-quick time.
double-ripper |A kind of coasting sled, made of two sleds fastened together with a board, one before the other. [Local, U. S.]
double-shade |To double the natural darkness of (a place). Milton.
double-surfaced |Having two surfaces; -- said specif. of aëroplane wings or aërocurves which are covered on both sides with fabric, etc., thus completely inclosing their frames.
