eyliad |See Eiliad.
fantastico |A fantastic. [Obs.] Shak.
fantasy |1. Fancy; imagination; especially, a whimsical or fanciful conception; a vagary of the imagination; whim; caprice; humor. Is not this something more than fantasy Shak. A thousand fantasies Being to throng into my memory. Milton. 2. Fantastic designs. Embroidered with fantasies and flourishes of gold thread. Hawthorne.\n\nTo have a fancy for; to be pleased with; to like; to fancy. [Obs.] Cavendish. Which he doth most fantasy. Robynson (More's Utopia).
fantigue |State of worry or excitment; fidget; ill humor. [Prov. Eng.] Dickens.
fantique |State of worry or excitment; fidget; ill humor. [Prov. Eng.] Dickens.
fantoccini |Puppets caused to perform evolutions or dramatic scenes by means of machinery; also, the representations in which they are used.
fantod |State of worry or excitement; fidget; fuss; also, indisposition; pet; sulks. [Slang]
fantom |See Phantom. Fantom corn, phantom corn. Grose.
fap |Fuddled. [Obs.] Shak.
faquir |See Fakir.
far |A young pig, or a litter of pigs.\n\n1. Distant in any direction; not near; remote; mutually separated by a wide space or extent. They said, . . . We be come from a far country. Josh. ix. 6. The nations far and near contend in choice. Dryden. 2. Remote from purpose; contrary to design or wishes; as, far be it from me to justify cruelty. 3. Remote in affection or obedience; at a distance, morally or spiritually; t enmity with; alienated. They that are far from thee ahsll perish. Ps. lxxiii. 27. 4. Widely different in nature or quality; opposite in character. He was far from ill looking, though he thought himself still farther. F. Anstey. 5. The more distant of two; as, the far side (called also off side) of a horse, that is, the right side, or the one opposite to the rider when he mounts. Note: The distinction between the adjectival and adverbial use of far is sometimes not easily discriminated. By far, by much; by a great difference. -- Far between, with a long distance (of space or time) between; at long intervals. \"The examinations are few and far between.\" Farrar.\n\n1. To a great extent or distance of space; widely; as, we are separated far from each other. 2. To a great distance in time from any point; remotely; as, he pushed his researches far into antiquity. 3. In great part; as, the day is far spent. 4. In a great proportion; by many degrees; very much; deeply; greatly. Who can find a virtuous woman for her price is far above rubies. Prov. xxxi. 10. As far as, to the extent, or degree, that. See As far as, under As. -- Far off. (a) At a great distance, absolutely or relatively. (b) Distant in sympathy or affection; alienated. \"But now, in Christ Jesus, ye who some time were far off are made nigh by the blood of Christ.\" Eph. ii. 13. -- Far other, different by a great degree; not the same; quite unlike. Pope. -- Far and near, at a distance and close by; throughout a whole region. -- Far and wide, distantly and broadly; comprehensively. \"Far and wide his eye commands.\" Milton. -- From far, from a great distance; from a remote place. Note: Far often occurs in self-explaining compounds, such as far- extended, far-reaching, far-spread.
far-about |A going out of the way; a digression. [Obs.] Fuller.
far-off |Remote; as, the far-off distance. Cf. Far-off, under Far, adv.
far-stretched |Stretched beyond ordinary limits.\n\nStretched beyond ordinary limits.
farad |The standard unit of electrical capacity; the capacity of a condenser whose charge, having an electro-motive force of one volt, is equal to the amount of electricity which, with the same electromotive force, passes through one ohm in one second; the capacity, which, charged with one coulomb, gives an electro-motive force of one volt.
faradic |Of or pertaining to Michael Faraday, the distinguished electrician; -- applied especially to induced currents of electricity, as produced by certain forms of inductive apparatus, on account of Faraday's investigations of their laws.
faradism |The treatment with faradic or induced currents of electricity for remedial purposes.
faradization |The treatment with faradic or induced currents of electricity for remedial purposes.
faradize |To stimulate with, or subject to, faradic, or inducted, electric currents. --Far\"a*diz`er (#), n.
farand |See Farrand, n.
farandams |A fabrik made of silk and wool or hair. Simmonds.
farandole |A rapid dance in six-eight time in which a large number join hands and dance in various figures, sometimes moving from room to room. It originated in Provence. I have pictured them dancing a sort of farandole. W. D. Howells.
farantly |Orderly; comely; respectable. [Obs.] Halliwell.
farce |1. To stuff with forcemeat; hence, to fill with mingled ingredients; to fill full; to stuff. [Obs.] The first principles of religion should not be farced with school points and private tenets. Bp. Sanderson. His tippet was aye farsed full of knives. Chaucer. 2. To render fat. [Obs.] If thou wouldst farce thy lean ribs. B. Jonson. 3. To swell out; to render pompous. [Obs.] Farcing his letter with fustian. Sandys.\n\n1. (Cookery)  Stuffing, or mixture of viands, like that used on dressing a fowl; forcemeat. 2. A low style of comedy; a dramatic composition marked by low humor, generally written with little regard to regularity or method, and abounding with ludicrous incidents and expressions. Farce is that in poetry which \"grotesque\" is in a picture: the persons and action of a farce are all unnatural, and the manners false. Dryden. 3. Ridiculous or empty show; as, a mere farce. \"The farce of state.\" Pope.
farcement |Stuffing; forcemeat. [Obs.] They spoil a good dish with . . . unsavory farcements. Feltham.
farcical |Pertaining to farce; appropriated to farce; ludicrous; unnatural; unreal. They deny the characters to be farcical, because they are Gay. -- Far\"ci*cal*ly, adv. -Far\"ci*cal*ness, n.\n\nOf or pertaining to the disease called farcy. See Farcy, n.
farcilite |Pudding stone. [Obs.] Kirwan.
farcimen |Same as Farcy.
farcin |Same as Farcy.
farcing |Stuffing; forcemeat.
farctate |Stuffed; filled solid; as, a farctate leaf, stem, or pericarp; -- opposed to tubular or hollow. [Obs.]
farcy |A contagious disease of horses, associated with painful ulcerating enlargements, esp. upon the head and limbs. It is of the same nature as glanders, and is often fatal. Called also farcin, and farcimen. Note: Farcy, although more common in horses, is communicable to other animals and to human beings. Farcy bud, a hard, prominent swelling occurrinng upon the cutaneous surface in farcy, due to the obstruction and inflammation of the lymphatic vessels, and followed by ulceration. Youatt.
fard |Paint used on the face. [Obs.] \"Painted with French fard.\" J. Whitaker.\n\nTo paint; -- said esp. of one's face. [Obs.] Shenstone.
fardage |See Dunnage.
fardel |A bundle or little pack; hence, a burden. [Obs.] Shak. A fardel of never-ending misery and suspense. Marryat.\n\nTo make up in fardels. [Obs.] Fuller.
farding-bag |The upper stomach of a cow, or other ruminant animal; the rumen.
fardingdale |A farthingale. [Obs.]
fardingdeal |The fourth part of an acre of land. [Obs.] [Written also farding dale, fardingale, etc.]
fare |1. To go; to pass; to journey; to travel. So on he fares, and to the border comes Of Eden. Milton. 2. To be in any state, or pass through any experience, good or bad; to be attended with any circummstances or train of events, fortunate or unfortunate; as, he fared well, or ill. So fares the stag among the enraged hounds. Denham. I bid you most heartily well to fare. Robynson (More's Utopia). So fared the knight between two foes. Hudibras. 3. To be treated or entertained at table, or with bodily or social comforts; to live. There was a certain rich man wwhich . . . fared sumptuously every day. Luke xvi. 19. 4. To happen well, or ill; -- used impersonally; as, we shall see how it will fare with him. Sso fares it when with truth falsehood contends. Milton. 5. To behave; to conduct one's self. [Obs.] She ferde [fared] as she would die. Chaucer.\n\n1. A journey; a passage. [Obs.] That nought might stay his fare. Spenser. 2. The price of passage or going; the sum paid or due for conveying a person by land or water; as, the fare for crossing a river; the fare in a coach or by railway. 3. Ado; bustle; business. [Obs.] The warder chid and made fare. Chaucer. 4. Condition or state of things; fortune; hap; cheer. What fare what news abroad Shak. 5. Food; provisions for the table; entertainment; as, coarse fare; delicious fare. \"Philosophic fare.\" Dryden. 6. The person or persons conveyed in a vehicle; as, a full fare of passengers. A. Drummond. 7. The catch of fish on a fishing vessel. Bill of fare. See under Bill. -- Fare indicator or register, a device for recording the number of passengers on a street car, etc. -- Fare wicket. (a) A gate or turnstile at the entrance of toll bridges, exhibition grounds, etc., for registering the number of persons passing it. (b) An opening in the door of a street car for purchasing tickets of the driver or passing fares to the conductor. Knight.
faren |p. p. of Fare, v. i. Chaucer.
farewell |Go well; good-by; adieu; -- originally applied to a person departing, but by custom now applied both to those who depart and those who remain. It is often separated by the pronoun; as, fare you well; and is sometimes used as an expression of separation only; as, farewell the year; farewell, ye sweet groves; that is, I bid you farewell. So farewell hope, and with hope, farewell fear. Milton. Fare thee well! and if forever, Still forever fare thee well. Byron. Note: The primary accent is sometimes placed on the first syllable, especially in poetry.\n\n1. A wish of happiness or welfare at parting; the parting compliment; a good-by; adieu. 2. Act of departure; leave-taking; a last look at, or reference to something. And takes her farewell of the glorious sun. Shak. Before I take my farewell of the subject. Addison.\n\nParting; valedictory; final; as, a farewell discourse; his farewell bow. Leans in his spear to take his farewell view. Tickell. Farewell rock (Mining), the Millstone grit; -- so called because no coal is found worth working below this stratum. It is used for hearths of furnaces, having power to resist intense heat. Ure.
farfet |Farfetched. [Obs.] York with his farfet policy. Shak.
farfetch |To bring from far; to seek out studiously. [Obs.] To farfetch the name of Tartar from a Hebrew word. Fuller.\n\nAnything brought from far, or brought about with studious care; a deep strategem. [Obs.] \"Politic farfetches.\" Hudibras.
farfetched |1. Brought from far, or from a remote place. Every remedy contained a multitude of farfetched and heterogeneous ingredients. Hawthorne. 2. Studiously sought; not easily or naturally deduced or introduced; forced; strained.
farina |1. A fine flour or meal made from cereal grains or from the starch or fecula of vegetables, extracted by various processes, and used in cookery. 2. (Bot.)  Pollen. [R.] Craig.
farinaceous |1. Consisting or made of meal or flour; as, a farinaceous diet. 2. Yielding farina or flour; as, ffarinaceous seeds. 3. Like meal; mealy; pertainiing to meal; as, a farinaceous taste, smell, or appearance.
farinose |1. Yielding farinaa; as, farinose substances. 2. (Bot. & Zoöl.)  Civered with a sort of white, mealy powder, as the leaves of some poplars, and the body of certain insects; mealy.
farl |Same as Furl. [Obs.] Beau. & Fl.
farlie |An unusual or unexpected thing; a wonder. See Fearly. [Obs. or Prov. Eng.] Drayton.
farm |1. The rent of land, -- originally paid by reservation of part of its products. [Obs.] 2. The term or tenure of a lease of land for cultivation; a leasehold. [Obs.] It is great willfulness in landlords to make any longer farms to their tenants. Spenser. 3. The land held under lease and by payment of rent for the purpose of cultivation. 4. Any tract of land devoted to agricultural purposes, under the management of a tenant or the owner. Note: In English the ideas of a lease, a term, and a rent, continue to be in a great degree inseparable, even from the popular meaning of a farm, as they are entirely so from the legal sense. Burrill. 5. A district of country leased (or farmed) out for the collection of the revenues of government. The province was devided into twelve farms. Burke. 6. (O. Eng. Law)  A lease of the imposts on particular goods; as, the sugar farm, the silk farm. Whereas G. H. held the farm of sugars upon a rent of 10,000 marks per annum. State Trials (1196).\n\n1. To lease or let for an equivalent, as land for a rent; to yield the use of to proceeds. We are enforced to farm our royal realm. Shak. 2. To give up to another, as an estate, a business, the revenue, etc., on condition of receiving in return a percentage of what it yields; as, to farm the taxes. To farm their subjects and their duties toward these. Burke. 3. To take at a certain rent or rate. 4. To devote (land) to agriculture; to cultivate, as land; to till, as a farm. To farm let, To let to farm, to lease on rent.\n\nTo engage in the business of tilling the soil; to labor as a farmer.
farmable |Capable of being farmed.
farmer |One who farms; as: (a) One who hires and cultivates a farm; a cultivator of leased ground; a tenant. Smart. (b) One who is devoted to the tillage of the soil; one who cultivates a farm; an agriculturist; a husbandman. (c) One who takes taxes, customs, excise, or other duties, to collect, either paying a fixed annuual rent for the privilege; as, a farmer of the revenues. (d) (Mining) The lord of the field, or one who farms the lot and cope of the crown. Farmer-general Etym: [F. fermier-general], one to whom the right of levying certain taxes, in a particular district, was farmed out, under the former French monarchy, for a given sum paid down. -- Farmers' satin, a light material of cotton and worsted, used for coat linings. McElrath. -- The king's farmer (O. Eng. Law), one to whom the collection of a royal revenue was farmed out. Burrill.
farmeress |A woman who farms.
farmership |Skill in farming.
farmery |The buildings and yards necessary for the business of a farm; a homestead. [Eng.]
farmhouse |A dwelling house on a farm; a farmer's residence.
farming |Pertaining to agriculture; devoted to, adapted to, or engaged in, farming; as, farming tools; farming land; a farming community.\n\nThe business of cultivating land.
farmost |Most distant; farthest. A spacious cave within its farmost part. Dryden.
farmstead |A farm with the building upon it; a homestead on a farm. Tennyson. With its pleasant groves and farmsteads. Carlyle.
farmsteading |A farmstead. [Scot.] Black.
farmyard |The yard or inclosure attached to a barn, or the space inclosed by the farm buildings.
farness |The state of being far off; distance; remoteness. [R.] Grew.
faro |A gambling game at cardds, in whiich all the other players play against the dealer or banker, staking their money upon the order in which the cards will lie and be dealt from the pack. Faro bank, the capital which the proprietor of a farotable ventures in the game; also, the place where a game of faro is played. Hoyle.
faroese |An inhabitant, or, collectively, inhabitants, of the Faroe islands.
farraginous |Formed of various materials; mixed; as, a farraginous mountain. [R.] Kirwan. AA farraginous concurrence of all conditions, tempers, sexes, and ages. Sir T. Browne.
farrago |A mass ccomposed of various materials confusedly mixed; a medley; a mixture. A confounded farrago of doubts, fears, hopes, wishes, and all the flimsy furniture of a country miss's brain. Sheridan.
farrand |Manner; custom; fashion; humor. [Prov. Eng.] [Written also farand.] Grose.
farreation |Same as Confarreation.
farrier |1. A shoer of horses  2. a veterinary surgeon.\n\nTo practice as a farrier; to carry on the trade of a farrier. [Obs.] Mortimer.
farriery |1. The art of shoeing horses. 2. The art of preventing, curing, or mitigating diseases of horses and cattle; the veterinary art. 3. The place where a smith shoes horses.
farrow |A little of pigs. Shak.\n\nTo bring forth (young); -- said only of swine. Tusser.\n\nNot producing young in a given season or year; -- said only of cows. Note: If a cow has had a calf, but fails in a subsequent year, she is said to be farrow, or to go farrow.
farry |A farrow. [Obs.] Perry.
farse |An addition to, or a paraphrase of, some part of the Latin service in the vernacular; -- common in English before the Reformation.
farseeing |1. Able to see to a great distance; farsighted. 2. Having foresight as regards the future.
farsighted |1. Seeing to great distance; hence, of good judgment regarding the remote effects of actions; sagacious. 2. (Med.)  Hypermetropic.
farsightedness |1. Quality of bbeing farsighted. 2. (Med.)  Hypermetropia.
farstretched |Stretched beyond ordinary limits.
farther |1. More remote; more distant than something else. 2. Tending to a greater distance; beyond a certain point; additional; further. Before our farther way the fates allow. Dryden. Let me add a farther Truth. Dryden. Some farther change awaits us. MIlton.\n\n1. At or to a greater distance; more renotely; beyond; as, let us rest with what we have, without looking farther. 2. Moreover; by way of progress in treating a subject; as, farther, let us consider the probable event. No farther, (used elliptically for) go no farther; say no more, etc. It will be dangerous to go on. No farther ! Shak.\n\nTo help onward. [R.] See Further.
fartherance |See Furtherence.
farthermore |See Furthermore.
farthermost |Most distant or remote; as, the farthest degree. See Furthest.
farthest |Most distant or remote; as, the farthest degree.  See Furthest.\n\nAt or to the greatest distance. See Furthest.
farthing |1. The fourth of a penny; a small copper coin of Great Britain, being a cent in United States currency. 2. A very small quantity or value. [Obs.] In her cup was no farthing seen of grease. Chaucer. 3. A division of hand. [Obs.] Thirty acres make a farthing land; nine farthings a Cornish acre; and four Cornish acres a knight's fee. R. Carew.
farthingale |A hoop skirt or hoop petticoat, or other light, elastic material, used to extend the petticoat. We'll revel it as bravely as the best, . . . With ruffs and cuffs, and farthingales and things. Shak.
fasces |A bundle of rods, having among them an ax with the blade projecting, borne before the Roman magistrates as a badge of their authority.
fascet |A wire basket on the end of a rod to carry glass bottles, etc., to the annealing furnace; also, an iron rod to be thrust into the mouths of bottles, and used for the same purpose; -- calles also pontee and punty.
fascia |1. A band, sash, or fillet; especially, in surgery, a bandage or roller. 2. (Arch.)  A flat member of an order or building, like a flat band or broad fillet; especially, one of the three bands which make up the architrave, in the Ionic order. See Illust. of Column. 3. (Anat.)  The layer of loose tissue, often containing fat, immediately beneath the skin; the stronger layer of connective tissue covering and investing all muscles; an aponeurosis. 4. (Zoöl.)  A broad well-defined band of color.
fascial |1. Pertaining to the fasces. 2. (Anat.)  Relating to a fascia.
fasciate |1. Bound with a fillet, sash, or bandage. 2. (Bot.) (a) Banded or compacted together. (b) Flattened and laterally widened, as are often the stems of the garden cockscomb. 3. (Zoöl.)  Broadly banded with color.
fasciated |1. Bound with a fillet, sash, or bandage. 2. (Bot.) (a) Banded or compacted together. (b) Flattened and laterally widened, as are often the stems of the garden cockscomb. 3. (Zoöl.)  Broadly banded with color.
fasciation |The act or manner of binding up; bandage; also, the condition of being fasciated.
fascicle |A small bundle or collection; a compact cluster; as, a fascicle of fibers; a fascicle of flowers or roots.
fascicled |Growing in a bundle, tuft, or close cluster; as, the fascicled leaves of the pine or larch; the fascicled roots of the dahlia; fascicled muscle fibers; fascicled tufts of hair.
fascicular |Pertaining to a fascicle; fascicled; as, a fascicular root.
fascicularly |In a fascicled manner. Kirwan.
fasciculate |Grouped in a fascicle; fascicled.
fasciculated |Grouped in a fascicle; fascicled.
fascicule |A small bunch or bundle; a fascicle; as, a fascicule of fibers, hairs, or spines.
fasciculus |1. A little bundle; a fascicle. 2. A division of a book.
fascinate |1. To influence in an uncontrollable manner; to operate on by some powerful or irresistible charm; to bewitch; to enchant. It has been almost universally believed that . . . serpents can stupefy and fascinate the prey which they are desirous to obtain. Griffith (Cuvier). 2. To excite and allure irresistibly or powerfully; to charm; to captivate, as by physical or mental charms. there be none of the passions that have been noted to fascinate or bewhich but love and envy. Bacon. Syn. -- To charm; enrapture; captivate; enchant; bewitch; attract.
fascination |1. The act of fascinating, bewhiching, or enchanting; enchantment; witchcraft; the exercise of a powerful or irresistible influence on the affections or passions; unseen, inexplicable influence. The Turks hang old rags . . . upon their fairest horses, and other goodly creatures, to secure them against fascination. Waller. 2. The state or condition of being fascinated. 3. That which fascinates; a charm; a spell. There is a certain bewitchery or fascination in words. South.
fascine |A cylindrical bundle of small sticks of wood, bound together, used in raising batteries, filling ditches, strengthening ramparts, and making parapets; also in revetments for river banks, and in mats for dams, jetties, etc.
fascinous |Caused or acting by witchcraft. [Obs.] \"Fascinous diseases.\" Harvey.
fasciola |A band of gray matter bordering the fimbria in the brain; the dentate convolution. Wilder.
fasciole |A band of minute tubercles, bearing modified spines, on the shells of spatangoid sea urchins. See Spatangoidea.
fash |To vex; to tease; to trouble. [Scot.]\n\nVexation; anxiety; care. [Scot.] Without further fash on my part. De Quincey.
fashion |1. The make or form of anything; the style, shape, appearance, or mode of structure; pattern, model; as, the fashion of the ark, of a coat, of a house, of an altar, etc. ; workmanship; execution. The fashion of his countenance was altered. Luke ix. 29. I do not like the fashion of your garments. Shak. 2. The prevailing mode or style, especially of dress; custom or conventional usage in respect of dress, behavior, etiquette, etc.; particularly, the mode or style usual among persons of good breeding; as, to dress, dance, sing, ride, etc., in the fashion. The innocent diversions in fashion. Locke. As now existing, fashion is a form of social regulation analogous to constitutional government as a form of political regulation. H. Spencer. 3. Polite, fashionable, or genteel life; social position; good breeding; as, men of fashion. 4. Mode of action; method of conduct; manner; custom; sort; way. \"After his sour fashion.\" Shak. After a fashion, to a certain extent; in a sort. -- Fashion piece (Naut.), one of the timbers which terminate the transom, and define the shape of the stern. -- Fashion plate, a pictorial design showing the prevailing style or a new style of dress. in a sort s.b. of a sort\n\n1. To form; to give shape or figure to; to mold. Here the loud hammer fashions female toys. Gay. Ingenious art . . . Steps forth to fashion and refine the age. Cowper. 2. To fit; to adapt; to accommodate; -- with to. Laws ought to be fashioned to the manners and conditions of the people. Spenser. 3. To make according to the rule prescribed by custom. Fashioned plate sells for more than its weight. Locke. 4. To forge or counterfeit. [Obs.] Shak. Fashioning needle (Knitting Machine), a needle used for widening or narrowing the work and thus shaping it.
fashion-monger |One who studies the fashions; a fop; a dandy. Marston.
fashion-mongering |Behaving like a fashion-monger. [R.] Shak.
fashionable |1. Conforming to the fashion or established mode; according with the prevailing form or style; as, a fashionable dress. 2. Established or favored by custom or use; current; prevailing at a particular time; as, the fashionable philosophy; fashionable opinions. 3. Observant of the fashion or customary mode; dressing or behaving according to the prevailing fashion; as, a fashionable man. 4. Genteel; well-bred; as, fashionable society. Time is like a fashionable host That slightly shakes his parting guest by the hand. Shak.\n\nA person who conforms to the fashions; -- used chiefly in the plural.
fashionableness |State of being fashionable.
fashionably |In a fashionable manner.
fashioned |Having a certain style or fashion; as old-fashioned; new- fashioned.
fashioner |One who fashions, forms, ar gives shape to anything. [R.] The fashioner had accomplished his task, and the dresses were brought home. Sir W. Scott.
fashionist |An obsequious follower of the modes and fashions. [R.] Fuller.
fashionless |Having no fashion.
fassaite |A variety of pyroxene, from the valley of Fassa, in the Tyrol.
fast |1. To abstain from food; to omit to take nourishment in whole or in part; to go hungry. Fasting he went to sleep, and fasting waked. Milton. 2. To practice abstinence as a religious exercise or duty; to abstain from food voluntarily for a time, for the mortification of the body or appetites, or as a token of grief, or humiliation and penitence. Thou didst fast and weep for the child. 2 Sam. xii. 21. Fasting day, a fast day; a day of fasting.\n\n1. Abstinence from food; omission to take nounrishment. Surfeit is the father of much fast. Shak. 2. Voluntary abstinence from food, for a space of time, as a spiritual discipline, or as a token of religious humiliation. 3. A time of fasting, whether a day, week, or longer time; a period of abstinence from food or certain kinds of food; as, an annual fast. Fast day, a day appointed for fasting, humiliation, and religious offices as a means of invoking the favor of God. -- To break one's fast, to put an end to a period of abstinence by taking food; especially, to take one's morning meal; to breakfast. Shak.\n\n1. Firmly fixed; closely adhering; made firm; not loose, unstable, or easily moved; immovable; as, to make fast the door. There is an order that keeps things fast. Burke. 2. Firm against attack; fortified by nature or art; impregnable; strong. Outlaws . . . lurking in woods and fast places. Spenser. 3. Firm in adherence; steadfast; not easily separated or alienated; faithful; as, a fast friend. 4. Permanent; not liable to fade by exposure to air or by washing; durable; lasting; as, fast colors. 5. Tenacious; retentive. [Obs.] Roses, damask and red, are fast flowers of their smells. Bacon. 6. Not easily disturbed or broken; deep; sound. All this while in a most fast sleep. Shak. 7. Moving rapidly; quick in mition; rapid; swift; as, a fast horse. 8. Given to pleasure seeking; disregardful of restraint; reckless; wild; dissipated; dissolute; as, a fast man; a fast liver. Thackeray. Fast and loose, now cohering, now disjoined; inconstant, esp. in the phrases to play at fast and loose, to play fast and loose, to act with giddy or reckless inconstancy or in a tricky manner; to say one thing and do another \"Play fast and loose with faith.\" Shak. Fast and loose pulleys (Mach.), two pulleys placed side by side on a revolving shaft, which is driven from another shaft by a band, and arranged to disengage and reëngage the machinery driven thereby. When the machinery is to be stopped, the band is transferred from the pulley fixed to the shaft to the pulley which revolves freely upon it, and vice versa. -- Hard and fast (Naut.), so completely aground as to be immovable. -- To make fast (Naut.), to make secure; to fasten firmly, as a vessel, a rope, or a door.\n\n1. In a fast, fixed, or firmly established manner; fixedly; firmly; immovably. We will bind thee fast. Judg. xv. 13. 2. In a fast or rapid manner; quickly; swiftly; extravagantly; wildly; as, to run fast; to live fast. Fast by, or Fast beside, close or near to; near at hand. He, after Eve seduced, unminded slunk Into the wood fast by. Milton. Fast by the throne obsequious Fame resides. Pope.\n\nThat which fastens or holds; especially, (Naut.) a mooring rope, hawser, or chain; -- called, according to its position, a bow, head, quarter, breast, or stern fast; also, a post on a pier around which hawsers are passed in mooring.
fast-handed |Close-handed; close-fisted; covetous; avaricious. [Obs.] Bacon.
fasten |1. To fix firmly; to make fast; to secure, as by a knot, lock, bolt, etc.; as, to fasten a chain to the feet; to fasten a door or window. 2. To cause to hold together or to something else; to attach or unite firmly; to cause to cleave to something , or to cleave together, by any means; as, to fasten boards together with nails or cords; to fasten anything in our thoughts. The words Whig and Tory have been pressed to the service of many successions of parties, with very different ideas fastened to them. Swift. 3. To cause to take close effect; to make to tell; to lay on; as, to fasten a blow. [Obs.] Dryden. If I can fasten but one cup upon him. Shak. To fasten a charge, or a crime, upon, to make his guilt certain, or so probable as to be generally believed. -- To fasten one's eyes upon, to look upon steadily without cessation. Acts iii. 4. Syn. -- To fix; cement; stick; link; affix; annex.\n\nTo fix one's self; to take firm hold; to clinch; to cling. A horse leech will hardly fasten on a fish. Sir T. Browne.
fastener |One who, or that which, makes fast or firm.
fastening |Anything that binds and makes fast, as a lock, catch, bolt, bar, buckle, etc.
faster |One who abstains from food.
fasti |1. The Roman calendar, which gave the days for festivals, courts, etc., corresponding to a modern almanac. 2. Records or registers of important events.
fastidiosity |Fastidiousness; squeamishness. [Obs.] Swift.
fastidious |Difficult to please; delicate to fault; suited with difficulty; squeamish; as, a fastidious mind or ear; a fastidious appetite. Proud youth ! fastidious of the lower world. Young. Syn. -- Squeamish; critical; overnice; difficult; punctilious. -- Fastidious, Squeamish. We call a person fastidious when his taste or feelings are offended by trifling defects or errors; we call him squeamish when he is excessively nice or critical on minor points, and also when he is overscrupulous as to questions of duty. \"Whoever examines his own imperfections will cease to be fastidious; whoever restrains his caprice and scrupulosity will cease to be squeamish.\" Crabb. -- Fas*tid\"i*ous*ly, adv. -- Fas*tid\"i*ous*ness, n.
fastigiate |1. Narrowing towards the top. 2. (Bot.)  Clustered, parallel, and upright, as the branches of the Lombardy poplar; pointed. 3. (Zoöl.)  United into a conical bundle, or into a bundle with an enlarged head, like a sheaf of wheat.
fastigiated |1. Narrowing towards the top. 2. (Bot.)  Clustered, parallel, and upright, as the branches of the Lombardy poplar; pointed. 3. (Zoöl.)  United into a conical bundle, or into a bundle with an enlarged head, like a sheaf of wheat.
fastish |Rather fast; also, somewhat dissipated. [Colloq.] Thackeray.
fastly |Firmly; surely.
fastness |1. The state of being fast and firm; firmness; fixedness; security; faithfulness. All . . . places of fastness [are] laid open. Sir J. Davies. 2. A fast place; a stronghold; a fortress or fort; a secure retreat; a castle; as, the enemy retired to their fastnesses in the mountains. 3. Conciseness of style. [Obs.] Ascham. 4. The state of being fast or swift.
fastuous |Proud; haughty; disdainful. [Obs.] Barrow. Fas\"tu*ous*ness, n. [Obs.] Jer. Taylor.
fat |1. A large tub, cistern, or vessel; a vat. [Obs.] The fats shall overflow with wine and oil. Joel ii. 24. 2. A measure of quantity, differing for different commodities. [Obs.] Hebert.\n\n1. Abounding with fat; as: (a) Fleshy; characterized by fatness; plump; corpulent; not lean; as, a fat man; a fat ox. (b) Oily; greasy; unctuous; rich; -- said of food. 2. Exhibiting the qualities of a fat animal; coarse; heavy; gross; dull; stupid. Making our western wits fat and mean. Emerson. Make the heart of this people fat. Is. vi. 10. 3. Fertile; productive; as, a fat soil; a fat pasture. 4. Rich; producing a large income; desirable; as, a fat benefice; a fat office; a fat job. Now parson of Troston, a fat living in Suffolk. Carlyle. 5. Abounding in riches; affluent; fortunate. [Obs.] Persons grown fat and wealthy by long impostures. Swift. 6. (Typog.)  Of a character which enables the compositor to make large wages; -- said of matter containing blank, cuts, or many leads, etc.; as, a fat take; a fat page. Fat lute, a mixture of pipe clay and oil for filling joints.\n\n1. (Physiol. Chem.)  An oily liquid or greasy substance making up the main bulk of the adipose tissue of animals, and widely distributed in the seeds of plants. See Adipose tissue, under Adipose. Note: Animal fats are composed mainly of three distinct fats, tristearin, tripalmitin, and triolein, mixed in varying proportions. As olein is liquid at ordinary temperatures, while the other two fats are solid, it follows that the consistency or hardness of fats depends upon the relative proportion of the three individual fats. During the life of an animal, the fat is mainly in a liquid state in the fat cells, owing to the solubility of the two solid fats in the more liquid olein at the body temperature. Chemically, fats are composed of fatty acid, as stearic, palmitic, oleic, etc., united with glyceryl. In butter fat, olein and palmitin predominate, mixed with another fat characteristic of butter, butyrin. In the vegetable kingdom many other fats or glycerides are to be found, as myristin from nutmegs, a glyceride of lauric acid in the fat of the bay tree, etc. 2. The best or richest productions; the best part; as, to live on the fat of the land. 3. (Typog.)  Work. containing much blank, or its equivalent, and, therefore, profitable to the compositor. Fat acid. (Chem.) See Sebacic acid, under Sebacic. -- Fat series, Fatty series (Chem.), the series of the paraffine hydrocarbons and their derivatives; the marsh gas or methane series. -- Natural fats (Chem.), the group of oily substances of natural occurrence, as butter, lard, tallow, etc., as distinguished from certain fatlike substance of artificial production, as paraffin. Most natural fats are essentially mixtures of triglycerides of fatty acids.\n\nTo make fat; to fatten; to make plump and fleshy with abundant food; as, to fat fowls or sheep. We fat all creatures else to fat us. Shak.\n\nTo grow fat, plump, and fleshy. An old ox fats as well, and is as good, as a young one. Mortimer.
fat-brained |Dull of apprehension.
fat-kidneyed |Gross; lubberly. Peace, ye fat-kidneyed rascal ! Shak.
fat-witted |Dull; stupid. Shak.
fata morgana |A kind of mirage by which distant objects appear inverted, distorted, displaced, or multiplied. It is noticed particularly at the Straits of Messina, between Calabria and Sicily.
fatal |1. Proceeding from, or appointed by, fate or destiny; necessary; inevitable. [R.] These thing are fatal and necessary. Tillotson. It was fatal to the king to fight for his money. Bacon. 2. Foreboding death or great disaster. [R.] That fatal screech owl to our house That nothing sung but death to us and ours. Shak. 3. Causing death or destruction; deadly; mortal; destructive; calamitous; as, a fatal wound; a fatal disease; a fatal day; a fatal error.
fatalism |The doctrine that all things are subject to fate, or that they take place by inevitable necessity.
