hogpen |A pen or sty for hogs.
horn |1. A hard, projecting, and usually pointed organ, growing upon the heads of certain animals, esp. of the ruminants, as cattle, goats, and the like. The hollow horns of the Ox family consist externally of true horn, and are never shed. 2. The antler of a deer, which is of bone throughout, and annually shed and renewed. 3. (Zoöl.)  Any natural projection or excrescence from an animal, resembling or thought to resemble a horn in substance or form; esp.: (a) A projection from the beak of a bird, as in the hornbill. (b) A tuft of feathers on the head of a bird, as in the horned owl. (c) A hornlike projection from the head or thorax of an insect, or the head of a reptile, or fish. (d) A sharp spine in front of the fins of a fish, as in the horned pout. 4. (Bot.)  An incurved, tapering and pointed appendage found in the flowers of the milkweed (Asclepias). 5. Something made of a horn, or in resemblance of a horn; as: (a) A wind instrument of music; originally, one made of a horn (of an ox or a ram); now applied to various elaborately wrought instruments of brass or other metal, resembling a horn in shape. \"Wind his horn under the castle wall.\" Spenser. See French horn, under French. (b) A drinking cup, or beaker, as having been originally made of the horns of cattle. \"Horns of mead and ale.\" Mason. (c) The cornucopia, or horn of plenty. See Cornucopia. \"Fruits and flowers from Amalthæa's horn.\" Milton. (d) A vessel made of a horn; esp., one designed for containing powder; anciently, a small vessel for carrying liquids. \"Samuel took the hornof oil and anointed him [David].\" 1 Sam. xvi. 13. (e) The pointed beak of an anvil. (f) The high pommel of a saddle; also, either of the projections on a lady's saddle for supporting the leg. (g) (Arch.) The Ionic volute. (h) (Naut.) The outer end of a crosstree; also, one of the projections forming the jaws of a gaff, boom, etc. (i) (Carp.) A curved projection on the fore part of a plane. (j) One of the projections at the four corners of the Jewish altar of burnt offering. \"Joab . . . caught hold on the horns of the altar.\" 1 Kings ii. 28. 6. One of the curved ends of a crescent; esp., an extremity or cusp of the moon when crescent-shaped. The moon Wears a wan circle round her blunted horns. Thomson. 7. (Mil.)  The curving extremity of the wing of an army or of a squadron drawn up in a crescentlike form. Sharpening in mooned horns Their phalanx. Milton. 8. The tough, fibrous material of which true horns are composed, being, in the Ox family, chiefly albuminous, with some phosphate of lime; also, any similar substance, as that which forms the hoof crust of horses, sheep, and cattle; as, a spoon of horn. 9. (Script.)  A symbol of strength, power, glory, exaltation, or pride. The Lord is . . . the horn of my salvation. Ps. xviii. 2. 10. An emblem of a cuckold; -- used chiefly in the plural. \"Thicker than a cuckold's horn.\" Shak. Horn block, the frame or pedestal in which a railway car axle box slides up and down; -- also called horn plate. -- Horn of a dilemma. See under Dilemma. -- Horn distemper, a disease of cattle, affecting the internal substance of the horn. -- Horn drum, a wheel with long curved scoops, for raising water. -- Horn lead (Chem.), chloride of lead. -- Horn maker, a maker of cuckolds. [Obs.] Shak. -- Horn mercury. (Min.) Same as Horn quicksilver (below). -- Horn poppy (Bot.), a plant allied to the poppy (Glaucium luteum), found on the sandy shores of Great Britain and Virginia; -- called also horned poppy. Gray. -- Horn pox (Med.), abortive smallpox with an eruption like that of chicken pox. -- Horn quicksilver (Min.), native calomel, or bichloride of mercury. -- Horn shell (Zoöl.), any long, sharp, spiral, gastropod shell, of the genus Cerithium, and allied genera. -- Horn silver (Min.), cerargyrite. -- Horn slate, a gray, siliceous stone. -- To haul in one's horns, to withdraw some arrogant pretension. [Colloq.] -- To raise, or lift, the horn (Script.), to exalt one's self; to act arrogantly. \"'Gainst them that raised thee dost thou lift thy horn\" Milton. -- To take a horn, to take a drink of intoxicating liquor. [Low]\n\n1. To furnish with horns; to give the shape of a horn to. 2. To cause to wear horns; to cuckold. [Obs.] Shak.
horn-mad |Quite mad; -- raving crazy. Did I tell you about Mr. Garrick, that the town are horn-mad after Gray.
hornbeak |A fish. See Hornfish.
hornbeam |A tree of the genus Carpinus (C. Americana), having a smooth gray bark and a ridged trunk, the wood being white and very hard. It is common along the banks of streams in the United States, and is also called ironwood. The English hornbeam is C. Betulus. The American is called also blue beech and water beech. Hop hornbeam. (Bot.) See under Hop.
hornbill |Any bird of the family Bucerotidæ, of which about sixty species are known, belonging to numerous genera. They inhabit the tropical parts of Asia, Africa, and the East Indies, and are remarkable for having a more or less horn-like protuberance, which is usually large and hollow and is situated on the upper side of the beak. The size of the hornbill varies from that of a pigeon to that of a raven, or even larger. They feed chiefly upon fruit, but some species eat dead animals.
hornblende |The common black, or dark green or brown, variety of amphibole. (See Amphibole.) It belongs to the aluminous division of the species, and is also characterized by its containing considerable iron. Also used as a general term to include the whole species. Hornblende schist (Geol.), a hornblende rock of schistose structure.
hornblendic |Composed largely of hornblende; resembling or relating to hornblende.
hornblower |One who, or that which, blows a horn.
hornbook |1. The first book for children, or that from which in former times they learned their letters and rudiments; -- so called because a sheet of horn covered the small, thin board of oak, or the slip of paper, on which the alphabet, digits, and often the Lord's Prayer, were written or printed; a primer. \"He teaches boys the hornbook.\" Shak. 2. A book containing the rudiments of any science or branch of knowledge; a manual; a handbook.
hornbug |A large nocturnal beetle of the genus Lucanus (as L. capreolus, and L. dama), having long, curved upper jaws, resembling a sickle. The grubs are found in the trunks of old trees.
horned |Furnished with a horn or horns; furnished with a hornlike process or appendage; as, horned cattle; having some part shaped like a horn. The horned moon with one bright star Within the nether tip. Coleridge. Horned bee (Zoöl.), a British wild bee (Osmia bicornis), having two little horns on the head. -- Horned dace (Zoöl.), an American cyprinoid fish (Semotilus corporialis) common in brooks and ponds; the common chub. See Illust. of Chub. -- Horned frog (Zoöl.), a very large Brazilian frog (Ceratophrys cornuta), having a pair of triangular horns arising from the eyelids. -- Horned grebe (Zoöl.), a species of grebe (Colymbus auritus), of Arctic Europe and America, having two dense tufts of feathers on the head. -- Horned horse (Zoöl.), the gnu. -- Horned lark (Zoöl.), the shore lark. -- Horned lizard (Zoöl.), the horned toad. -- Horned owl (Zoöl.), a large North American owl (Bubo Virginianus), having a pair of elongated tufts of feathers on the head. Several distinct varieties are known; as, the Arctic, Western, dusky, and striped horned owls, differing in color, and inhabiting different regions; -- called also great horned owl, horn owl, eagle owl, and cat owl. Sometimes also applied to the long-eared owl. See Eared owl, under Eared. -- Horned poppy. (Bot.) See Horn poppy, under Horn. -- Horned pout (Zoöl.), an American fresh-water siluroid fish; the bullpout. -- Horned rattler (Zoöl.), a species of rattlesnake (Crotalus cerastes), inhabiting the dry, sandy plains, from California to Mexico. It has a pair of triangular horns between the eyes; -- called also sidewinder. -- Horned ray (Zoöl.), the sea devil. -- Horned screamer (Zoöl.), the kamichi. -- Horned snake (Zoöl.), the cerastes. -- Horned toad (Zoöl.), any lizard of the genus Phrynosoma, of which nine or ten species are known. These lizards have several hornlike spines on the head, and a broad, flat body, covered with spiny scales. They inhabit the dry, sandy plains from California to Mexico and Texas. Called also horned lizard. -- Horned viper. (Zoöl.) See Cerastes.
hornedness |The condition of being horned.
hornel |The European sand eel. [Scot.]
horner |1. One who works or deal in horn or horns. [R.] Grew. 2. One who winds or blows the horn. [Obs.] Sherwood. 3. One who horns or cuckolds. [Obs.] Massinger. 4. (Zoöl.)  The British sand lance or sand eel (Ammodytes lanceolatus).
hornet |A large, strong wasp. The European species (Vespa crabro) is of a dark brown and yellow color. It is very pugnacious, and its sting is very severe. Its nest is constructed of a paperlike material, and the layers of comb are hung together by columns. The American white- faced hornet (V. maculata) is larger and has similar habits. Hornet fly (Zoöl.), any dipterous insect of the genus Asilus, and allied genera, of which there are numerous species. They are large and fierce flies which capture bees and other insects, often larger than themselves, and suck their blood. Called also hawk fly, robber fly. -- To stir up a hornet's nest, to provoke the attack of a swarm of spiteful enemies or spirited critics. [Colloq.]
hornfish |The garfish or sea needle.
hornfoot |Having hoofs; hoofed.
hornify |To horn; to cuckold. [Obs.] Beau. & Fl.
horning |Appearance of the moon when increasing, or in the form of a crescent. J. Gregory. Letters of horning (Scots Law), the process or authority by which a person, directed by the decree of a court of justice to pay or perform anything, is ordered to comply therewith. Mozley & W.
hornish |Somewhat like horn; hard.
hornito |A low, oven-shaped mound, common in volcanic regions, and emitting smoke and vapors from its sides and summit. Humboldt.
hornless |Having no horn.
hornotine |A yearling; a bird of the year.
hornowl |See Horned Owl.
hornpike |The garfish. [Prov. Eng.]
hornpipe |(a) An instrument of music formerly popular in Wales, consisting of a wooden pipe, with holes at intervals. It was so called because the bell at the open end was sometimes made of horn. (b) A lively tune played on a hornpipe, for dancing; a tune adapted for such playing. Many a hornpipe he tuned to his Phyllis. Sir W. Raleigh. (c) A dance performed, usually by one person, to such a tune, and popular among sailors.
hornpout |See Horned pout, under Horned.
hornsnake |A harmless snake (Farancia abacura), found in the Southern United States. The color is bluish black above, red below.
hornstone |A siliceous stone, a variety of quartz, closely resembling flint, but more brittle; -- called also chert.
horntail |Any one of family (Uroceridæ) of large hyminopterous insects, allied to the sawflies. The larvæ bore in the wood of trees. So called from the long, stout ovipositors of the females.
hornwork |An outwork composed of two demibastions joined by a curtain. It is connected with the works in rear by long wings.
hornwort |An aquatic plant (Ceratophyllum), with finely divided leaves.
hornwrack |A bryozoan of the genus Flustra.
horny |1. Having horns or hornlike projections. Gay. 2. Composed or made of horn, or of a substance resembling horn; of the nature of horn. \"The horny . . . coat of the eye.\" Ray. 3. Hard; callous. \"His horny fist.\" Dryden.
horny-handed |Having the hands horny and callous from labor.
hornyhead |Any North American river chub of the genus Hybopsis, esp. H. biguttatus.
horography |1. An account of the hours. Chaucer. 2. The art of constructing instruments for making the hours, as clocks, watches, and dials.
horologe |1. A servant who called out the hours. [Obs.] 2. An instrument indicating the time of day; a timepiece of any kind; a watch, clock, or dial. Shak.
horologer |A maker or vender of clocks and watches; one skilled in horology.
horological |Relating to a horologe, or to horology.
horologiographer |A maker of clocks, watches, or dials.
horologiographic |Of or pertaining to horologiography. Chambers.
horologiography |1. An account of instruments that show the hour. 2. The art of constructing clocks or dials; horography.
horologist |One versed in horology.
horology |The science of measuring time, or the principles and art of constructing instruments for measuring and indicating portions of time, as clocks, watches, dials, etc.
horometer |An instrument for measuring time.
horometrical |Belonging to horometry.
horometry |The art, practice, or method of measuring time by hours and subordinate divisions. \"The horometry of antiquity.\" Sir T. Browne.
horopter |The line or surface in which are situated all the points which are seen single while the point of sight, or the adjustment of the eyes, remains unchanged. The sum of all the points which are seen single, while the point of sight remains unchanged, is called the horopter. J. Le Conte.
horopteric |Of or pertaining to the horopter.
horoscope |1. (Astrol.) (a) The representation made of the aspect of the heavens at the moment of a person's birth, by which the astrologer professed to foretell the events of the person's life; especially, the sign of the zodiac rising above the horizon at such a moment. (b) The diagram or scheme of twelve houses or signs of the zodiac, into which the whole circuit of the heavens was divided for the purposes of such prediction of fortune. 2. The planisphere invented by Jean Paduanus. 3. A table showing the length of the days and nights at all places. Heyse.
horoscoper |One versed in horoscopy; an astrologer.
horoscopist |One versed in horoscopy; an astrologer.
horoscopy |1. The art or practice of casting horoscopes, or observing the disposition of the stars, with a view to prediction events. 2. Aspect of the stars at the time of a person's birth.
horrendous |Fearful; frightful. [Obs.] I. Watts.
horrent |Standing erect, as bristles; covered with bristling points; bristled; bristling. Rough and horrent with figures in strong relief. De Quincey. With bright emblazonry and horrent arms. Milton.
horrible |Exciting, or tending to excite, horror or fear; dreadful; terrible; shocking; hideous; as, a horrible sight; a horrible story; a horrible murder. A dungeon horrible on all sides round. Milton. Syn. -- Dreadful; frightful; fearful; terrible; awful; terrific; shocking; hideous; horrid.
horribleness |The state or quality of being horrible; dreadfulness; hideousness. The horribleness of the mischief. Sir P. Sidney.
horribly |In a manner to excite horror; dreadfully; terribly.
horrid |1. Rough; rugged; bristling. [Archaic] Horrid with fern, and intricate with thorn. Dryden. 2. Fitted to excite horror; dreadful; hideous; shocking; hence, very offensive. Not in the legions Of horrid hell. Shak. The horrid things they say. Pope. Syn. -- Frightful; hideous; alarming; shocking; dreadful; awful; terrific; horrible; abominable.
horridly |In a horrid manner. Shak.
horridness |The quality of being horrid.
horrific |Causing horror; frightful. Let . . . nothing ghastly or horrific be supposed. I. Taylor.
horrification |That which causes horror. [R.] Miss Edgeworth.
horrify |To cause to feel horror; to strike or impress with horror; as, the sight horrified the beholders. E. Irving.
horripilation |A real or fancied bristling of the hair of the head or body, resulting from disease, terror, chilliness, etc.
horrisonant |Horrisonous. [Obs.]
horrisonous |Sounding dreadfully; uttering a terrible sound. [Obs.] Bailey.
horror |1. A bristling up; a rising into roughness; tumultuous movement. [Archaic] Such fresh horror as you see driven through the wrinkled waves. Chapman. 2. A shaking, shivering, or shuddering, as in the cold fit which precedes a fever; in old medical writings, a chill of less severity than a rigor, and more marked than an algor. 3. A painful emotion of fear, dread, and abhorrence; a shuddering with terror and detestation; the feeling inspired by something frightful and shocking. How could this, in the sight of heaven, without horrors of conscience be uttered Milton. 4. That which excites horror or dread, or is horrible; gloom; dreariness. Breathes a browner horror on the woods. Pope. The horrors, delirium tremens. [Colloq.]
horror-sticken |Struck with horror; horrified. Blank and horror-stricken faces. C. Kingsley.
horror-struck |Horror-stricken; horrified. M. Arnold.
hors de combat |Out of the combat; disabled from fighting. HORS D'OEUVRE Hors` d'ouvre\"; pl. Hors d'ouveres (#). [F., lit., outside of work.] 1. Something unusual or extraordinary. [R.] 2.  A dish served as a relish, usually at the beginning of a meal.
horse |1. (Zoöl.)  A hoofed quadruped of the genus Equus; especially, the domestic horse (E. caballus), which was domesticated in Egypt and Asia at a very early period. It has six broad molars, on each side of each jaw, with six incisors, and two canine teeth, both above and below. The mares usually have the canine teeth rudimentary or wanting. The horse differs from the true asses, in having a long, flowing mane, and the tail bushy to the base. Unlike the asses it has callosities, or chestnuts, on all its legs. The horse excels in strength, speed, docility, courage, and nobleness of character, and is used for drawing, carrying, bearing a rider, and like purposes. Note: Many varieties, differing in form, size, color, gait, speed, etc., are known, but all are believed to have been derived from the same original species. It is supposed to have been a native of the plains of Central Asia, but the wild species from which it was derived is not certainly known. The feral horses of America are domestic horses that have run wild; and it is probably true that most of those of Asia have a similar origin. Some of the true wild Asiatic horses do, however, approach the domestic horse in several characteristics. Several species of fossil (Equus) are known from the later Tertiary formations of Europe and America. The fossil species of other genera of the family Equidæ are also often called horses, in general sense. 2. The male of the genus horse, in distinction from the female or male; usually, a castrated male. 3. Mounted soldiery; cavalry; -- used without the plural termination; as, a regiment of horse; -- distinguished from foot. The armies were appointed, consisting of twenty-five thousand horse and foot. Bacon. 4. A frame with legs, used to support something; as, a clotheshorse, a sawhorse, etc. 5. A frame of timber, shaped like a horse, on which soldiers were made to ride for punishment. 6. Anything, actual or figurative, on which one rides as on a horse; a hobby. 7. (Mining)  A mass of earthy matter, or rock of the same character as the wall rock, occurring in the course of a vein, as of coal or ore; hence, to take horse -- said of a vein -- is to divide into branches for a distance. 8. (Naut.) (a) See Footrope, a. (b) A breastband for a leadsman. (c) An iron bar for a sheet traveler to slide upon. (d) A jackstay. W. C. Russell. Totten. Note: Horse is much used adjectively and in composition to signify of, or having to do with, a horse or horses, like a horse, etc.; as, horse collar, horse dealer or horsehorsehoe, horse jockey; and hence, often in the sense of strong, loud, coarse, etc.; as, horselaugh, horse nettle or horse-nettle, horseplay, horse ant, etc. Black horse, Blood horse, etc. See under Black, etc. -- Horse aloes, caballine aloes. -- Horse ant (Zoöl.), a large ant (Formica rufa); -- called also horse emmet. -- Horse artillery, that portion of the artillery in which the cannoneers are mounted, and which usually serves with the cavalry; flying artillery. -- Horse balm (Bot.), a strong-scented labiate plant (Collinsonia Canadensis), having large leaves and yellowish flowers. -- Horse bean (Bot.), a variety of the English or Windsor bean (Faba vulgaris), grown for feeding horses. -- Horse boat, a boat for conveying horses and cattle, or a boat propelled by horses. -- Horse bot. (Zoöl.) See Botfly, and Bots. -- Horse box, a railroad car for transporting valuable horses, as hunters. [Eng.] -- Horse breaker or trainer, one employed in subduing or training horses for use. -- Horse car. (a) A railroad car drawn by horses. See under Car. (b) A car fitted for transporting horses. -- Horse cassia (Bot.), a leguminous plant (Cassia Javanica), bearing long pods, which contain a black, catharic pulp, much used in the East Indies as a horse medicine. -- Horse cloth, a cloth to cover a horse. -- Horse conch (Zoöl.), a large, spiral, marine shell of the genus Triton. See Triton. -- Horse courser. (a) One that runs horses, or keeps horses for racing. Johnson. (b) A dealer in horses. [Obs.] Wiseman. -- Horse crab (Zoöl.), the Limulus; -- called also horsefoot, horsehoe crab, and king crab. -- Horse crevallé (Zoöl.), the cavally. -- Horse emmet (Zoöl.), the horse ant. -- Horse finch (Zoöl.), the chaffinch. [Prov. Eng.] -- Horse gentian (Bot.), fever root. -- Horse iron (Naut.), a large calking iron. -- Horse latitudes, a space in the North Atlantic famous for calms and baffling winds, being between the westerly winds of higher latitudes and the trade winds. Ham. Nav. Encyc. -- Horse mackrel. (Zoöl.) (a) The common tunny (Orcynus thunnus), found on the Atlantic coast of Europe and America, and in the Mediterranean. (b) The bluefish (Pomatomus saltatrix). (c) The scad. (d) The name is locally applied to various other fishes, as the California hake, the black candlefish, the jurel, the bluefish, etc. -- Horse marine (Naut.), an awkward, lubbery person; one of a mythical body of marine cavalry. [Slang] -- Horse mussel (Zoöl.), a large, marine mussel (Modiola modiolus), found on the northern shores of Europe and America. -- Horse nettle (Bot.), a coarse, prickly, American herb, the Solanum Carolinense. -- Horse parsley. (Bot.) See Alexanders. -- Horse purslain (Bot.), a coarse fleshy weed of tropical America (Trianthema monogymnum). -- Horse race, a race by horses; a match of horses in running or trotting. -- Horse racing, the practice of racing with horses. -- Horse railroad, a railroad on which the cars are drawn by horses; -- in England, and sometimes in the United States, called a tramway. -- Horse run (Civil Engin.), a device for drawing loaded wheelbarrows up an inclined plane by horse power. -- Horse sense, strong common sense. [Colloq. U.S.] -- Horse soldier, a cavalryman. -- Horse sponge (Zoöl.), a large, coarse, commercial sponge (Spongia equina). -- Horse stinger (Zoöl.), a large dragon fly. [Prov. Eng.] -- Horse sugar (Bot.), a shrub of the southern part of the United States (Symplocos tinctoria), whose leaves are sweet, and good for fodder. -- Horse tick (Zoöl.), a winged, dipterous insect (Hippobosca equina), which troubles horses by biting them, and sucking their blood; -- called also horsefly, horse louse, and forest fly. -- Horse vetch (Bot.), a plant of the genus Hippocrepis (H. comosa), cultivated for the beauty of its flowers; -- called also horsehoe vetch, from the peculiar shape of its pods. -- Iron horse, a locomotive. [Colloq.] -- Salt horse, the sailor's name for salt beef. -- To look a gift horse in the mouth, to examine the mouth of a horse which has been received as a gift, in order to ascertain his age; -- hence, to accept favors in a critical and thankless spirit. Lowell. -- To take horse. (a) To set out on horseback. Macaulay. (b) To be covered, as a mare. (c) See definition 7 (above).\n\n1. To provide with a horse, or with horses; to mount on, or as on, a horse. \"Being better horsed, outrode me.\" Shak. 2. To sit astride of; to bestride. Shak. 3. To cover, as a mare; -- said of the male. 4. To take or carry on the back; as, the keeper, horsing a deer. S. Butler. 5. To place on the back of another, or on a wooden horse, etc., to be flogged; to subject to such punishment.\n\nTo get on horseback. [Obs.] Shelton.
horse guards |A body of cavalry so called; esp., a British regiment, called the Royal Horse Guards, which furnishes guards of state for the sovereign. The Horse Guards, a name given to the former headquarters of the commander in chief of the British army, at Whitehall in London.
horse power |. 1. The power which a horse exerts. 2. (Mach.)  A unit of power, used in stating the power required to drive machinery, and in estimating the capabilities of animals or steam engines and other prime movers for doing work. It is the power required for the performance of work at the rate of 33,000 English units of work per minute; hence, it is the power that must be exerted in lifting 33,000 pounds at the rate of one foot per minute, or 550 pounds at the rate of one foot per second, or 55 pounds at the rate of ten feet per second, etc. Note: The power of a draught horse, of average strength, working eight hours per day, is about four fifths of a standard horse power. Brake horse power, the net effective power of a prime mover, as a steam engine, water wheel, etc., in horse powers, as shown by a friction brake. See Friction brake, under Friction. -- Indicated horse power, the power exerted in the cylinder of an engine, stated in horse powers, estimated from the diameter and speed of the piston, and the mean effective pressure upon it as shown by an indicator. See Indicator. -- Nominal horse power (Steam Engine), a term still sometimes used in England to express certain proportions of cylinder, but having no value as a standard of measurement. 3. A machine worked by a horse, for driving other machinery; a horse motor.
horse-chestnut |(a) The large nutlike seed of a species of Æsculus (Æ. Hippocastanum), formerly ground, and fed to horses, whence the name. (b) The tree itself, which was brought from Constantinople in the beginning of the sixteenth century, and is now common in the temperate zones of both hemispheres. The native American species are called buckeyes.
horse-drench |1. A dose of physic for a horse. Shak. 2. The appliance by which the dose is administred.
horse-jockey |1. A professional rider and trainer of race horses. 2. A trainer and dealer in horses.
horse-leech |1. (Zoöl.)  A large blood-sucking leech (Hæmopsis vorax), of Europe and Northern Africa. It attacks the lips and mouths of horses. 2. A farrier; a veterinary surgeon.
horse-leechery |The business of a farrier; especially, the art of curing the diseases of horses.
horse-litter |A carriage hung on poles, and borne by and between two horses. Milton.
horse-radish |A plant of the genus Nasturtium (N. Armoracia), allied to scurvy grass, having a root of a pungent taste, much used, when grated, as a condiment and in medicine. Gray. Horse-radish tree. (Bot.) See Moringa.
horseback |1. The back of a horse. 2. An extended ridge of sand, gravel, and bowlders, in a half- stratified condition. Agassiz. On horseback, on the back of a horse; mounted or riding on a horse or horses; in the saddle. The long journey was to be performed on horseback. Prescott.
horsefish |(a) The moonfish (Selene setipinnis). (b) The sauger.
horseflesh |1. The flesh of horses. The Chinese eat horseflesh at this day. Bacon. 2. Horses, generally; the qualities of a horse; as, he is a judge of horseflesh. [Colloq.] Horseflesh ore (Min.), a miner's name for bornite, in allusion to its peculiar reddish color on fresh facture.
horsefly |1. (Zoöl.)  Any dipterous fly of the family Tabanidæ, that stings horses, and sucks their blood. Note: Of these flies there are numerous species, both in Europe and America. They have a large proboscis with four sharp lancets for piercing the skin. Called also breeze fly. See Illust. under Diptera, and Breeze fly. 2. (Zoöl.)  The horse tick or forest fly (Hippobosca).
horsefoot |1. (Bot.)  The coltsfoot. 2. (Zoöl.)  The Limulus or horseshoe crab.
horsehair |A hair of a horse, especially one from the mane or tail; the hairs of the mane or tail taken collectively; a fabric or tuft made of such hairs. Horsehair worm (Zoöl.), the hair worm or gordius.
horsehead |The silver moonfish (Selene vomer).
horsehide |1. The hide of a horse. 2. Leather made of the hide of a horse.
horseknop |Knapweed.
horselaugh |A loud, boisterous laugh; a guffaw. Pope.
horseless |Being without a horse; specif., not requiring a horse; -- said of certain vehicles in which horse power has been replaced by electricity, steam, etc.; as, a horseless carriage or truck.
horseman |1. A rider on horseback; one skilled in the management of horses; a mounted man. 2. (Mil.)  A mounted soldier; a cavalryman. 3. (Zoöl.) (a) A land crab of the genus Ocypoda, living on the coast of Brazil and the West Indies, noted for running very swiftly. (b) A West Indian fish of the genus Eques, as the light-horseman (E. lanceolatus).
horsemanship |The act or art of riding, and of training and managing horses; manege.
horsemint |(a) A coarse American plant of the Mint family (Monarda punctata). (b) In England, the wild mint (Mentha sylvestris).
horsenail |A thin, pointed nail, with a heavy flaring head, for securing a horsehoe to the hoof; a horsehoe nail.
horseplay |Rude, boisterous play. Too much given to horseplay in his raillery. Dryden.
horsepond |A pond for watering horses.
horserake |A rake drawn by a horse.
horseshoe |1. A shoe for horses, consisting of a narrow plate of iron in form somewhat like the letter U, nailed to a horse's hoof. 2. Anything shaped like a horsehoe crab. 3. (Zoöl.)  The Limulus of horsehoe crab. Horsehoe head (Med.), an old name for the condition of the skull in children, in which the sutures are too open, the coronal suture presenting the form of a horsehoe. Dunglison. -- Horsehoe magnet, an artificial magnet in the form of a horsehoe. -- Horsehoe nail. See Horsenail. -- Horsehoe nose (Zoöl.), a bat of the genus Rhinolophus, having a nasal fold of skin shaped like a horsehoe.
horseshoeing |The act or employment of shoeing horses.
horseshoer |One who shoes horses.
horsetail |1. (Bot.)  A leafless plant, with hollow and rushlike stems. It is of the genus Equisetum, and is allied to the ferns. See Illust. of Equisetum. 2. A Turkish standard, denoting rank. Note: Commanders are distinguished by the number of horsetails carried before them. Thus, the sultan has seven, the grand vizier five, and the pashas three, two, or one. Shrubby horsetail. (Bot.) See Joint-fir.
horseweed |A composite plant (Erigeron Canadensis), which is a common weed.
horsewhip |A whip for horses.\n\nTo flog or chastise with a horsewhip.
horsewoman |A woman who rides on horseback.
horsewood |A West Indian tree (Calliandra latifolia) with showy, crimson blossoms.
horseworm |The larva of a botfly.
horsiness |1. The condition or quality of being a horse; that which pertains to a horse. Tennyson. 2. Fondness for, or interest in, horses.
horsly |Horselike. [Obs.] Chaucer.
horsy |Pertaining to, or suggestive of, a horse, or of horse racing; as, horsy manners; garments of fantastically horsy fashions. [Colloq.]
hortation |The act of exhorting, inciting, or giving advice; exhortation. [R.]
hortative |Giving exhortation; advisory; exhortative. Bullokar.\n\nAn exhortation. [Obs.]
